,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,0.50,0.75,1.25,30.95,0.0,0.00,-56.8,-887.559,84.47,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,105,9,1.2,00.000000,00.000000,17042705,1,0,11.83,12.37,23.1,27/04/2017 09:51:45,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.25,1.75,65.85,0.0,0.00,56.2,-269.773,84.47,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,105,9,1.2,00.000000,00.000000,17042705,2,0,11.83,12.37,23.1,27/04/2017 09:51:45,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.75,2.25,83.64,0.0,0.00,-9.8,-114.225,84.47,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,105,9,1.2,00.000000,00.000000,17042705,3,0,11.83,12.37,23.1,27/04/2017 09:51:45,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.25,2.75,64.04,0.0,0.00,-19.3,-39.752,84.47,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,105,9,1.2,00.000000,00.000000,17042705,4,0,11.83,12.37,23.1,27/04/2017 09:51:45,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.75,3.25,72.78,0.1,0.00,-50.2,-24.328,84.47,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,105,9,1.2,00.000000,00.000000,17042705,5,0,11.83,12.37,23.1,27/04/2017 09:51:45,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.25,3.75,79.78,0.0,0.00,53.6,-15.999,84.47,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,105,9,1.2,00.000000,00.000000,17042705,6,0,11.83,12.37,23.1,27/04/2017 09:51:45,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.75,1.00,70.95,0.0,0.00,20.7,914.668,84.47,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,105,9,1.2,00.000000,00.000000,17042705,7,0,11.83,12.37,23.1,27/04/2017 09:51:45,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.00,1.50,67.47,0.0,0.00,-3.8,-604.630,84.47,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,105,9,1.2,00.000000,00.000000,17042705,8,0,11.83,12.37,23.1,27/04/2017 09:51:45,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.50,2.00,85.28,0.0,0.00,-10.8,-191.083,84.47,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,105,9,1.2,00.000000,00.000000,17042705,9,0,11.83,12.37,23.1,27/04/2017 09:51:45,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.00,2.50,66.68,0.0,0.00,19.2,-59.762,84.47,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,105,9,1.2,00.000000,00.000000,17042705,10,0,11.83,12.37,23.1,27/04/2017 09:51:45,0.0,0.00,0.0
