,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Gapfiller,Synch,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.00,0.50,0.75,1.25,33.94,0.05,0.00,-17.52,-988.538,85.776,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,110,9,1.3,00.000000,00.000000,17062204,1,0,11.95,12.41,25.0,23/06/2017 09:26:31,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.25,1.75,83.63,0.00,0.00,-3.20,-347.941,85.776,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,110,9,1.3,00.000000,00.000000,17062204,2,0,11.95,12.41,25.0,23/06/2017 09:26:31,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.75,2.25,115.09,0.06,0.00,-17.13,-159.608,85.776,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,110,9,1.3,00.000000,00.000000,17062204,3,0,11.95,12.41,25.0,23/06/2017 09:26:31,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.25,2.75,58.69,0.10,0.00,6.79,-36.998,85.776,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,110,9,1.3,00.000000,00.000000,17062204,4,0,11.95,12.41,25.0,23/06/2017 09:26:31,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.75,3.25,60.88,0.07,0.00,224.45,-20.666,85.776,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,110,9,1.3,00.000000,00.000000,17062204,5,0,11.95,12.41,25.0,23/06/2017 09:26:31,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.25,3.75,77.08,0.42,0.00,-230.26,-15.699,85.776,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,110,9,1.3,00.000000,00.000000,17062204,6,0,11.95,12.41,25.0,23/06/2017 09:26:31,0,1,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,3.75,1.00,94.22,0.00,0.00,34.63,1233.529,85.776,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,110,9,1.3,00.000000,00.000000,17062204,7,0,11.95,12.41,25.0,23/06/2017 09:26:31,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.00,1.50,96.12,0.03,0.00,-20.82,-874.789,85.776,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,110,9,1.3,00.000000,00.000000,17062204,8,0,11.95,12.41,25.0,23/06/2017 09:26:31,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,1.50,2.00,100.98,0.03,0.00,19.57,-229.760,85.776,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,110,9,1.3,00.000000,00.000000,17062204,9,0,11.95,12.41,25.0,23/06/2017 09:26:32,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.00,0.50,2.00,2.50,77.35,0.14,0.00,-8.30,-70.397,85.776,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,110,9,1.3,00.000000,00.000000,17062204,10,0,11.95,12.41,25.0,23/06/2017 09:26:32,0,0,0.0,0.00,0.0
